,HIC,UMIC,LMIC,LIC
0,1.0088157894736929,0.9917655314757478,0.9970407636738786,0.9540763673890348
1,0.8515795834480739,0.9813422289207622,1.0927282031668555,1.2122460797957686
2,0.7214680082559379,0.9637752708978328,1.1469869066047438,1.3896413828689278
3,0.6142640046830374,0.9396517152909051,1.1678306716830509,1.499992759312728
4,0.5262306501548007,0.9096177244582043,1.1623316563467496,1.5555727554179537
5,0.45408193860951673,0.8743677827170531,1.136673083861424,1.5672715198807237
6,0.3949535603715185,0.8346339138286891,1.0962019478844183,1.5446723426212563
7,0.3463736820243677,0.7911748984830834,1.045481717535984,1.4961271936026392
8,0.306233726284038,0.7447654917837576,0.9883450424704296,1.428832261649593
9,0.2727591518721002,0.6961856407326019,0.9279464579472657,1.348903493267238
10,0.24448023338890534,0.6462097017146933,0.8668150899023556,1.261452131459861
11,0.22020284118676947,0.5955956579831128,0.806907360019061,1.1706602545496811
12,0.19897922124315748,0.5450743371437635,0.7496596907993922,1.0798563149956184
13,0.18007877503386727,0.49533862864018874,0.696041210635153,0.9915906782120569
14,0.1629588394062137,0.4470327012383891,0.6466064588790907,0.9077111613876133
15,0.14723546645221164,0.4007412205116412,0.6015480909160458,0.8294385723039013
16,0.13265420338176392,0.35697856632531466,0.5607495832340937,0.7574422481543012
17,0.11906087239584018,0.31617805032169033,0.5238379384957007,0.6919155943627212
18,0.10637235055966354,0.27868113340477807,0.4902363906088645,0.6326516234023739
19,0.09454734967589684,0.2447266432251347,0.4592171097982667,0.5791184936145276
20,0.08355719615782209,0.21443999166468108,0.42995390767641883,0.5305350480272838
21,0.07335661090252843,0.18782239232152165,0.4015749423148136,0.48594635317434326
22,0.06385448916409375,0.16474007799475987,0.37321542331506485,0.4442992379137646
23,0.05488468042676997,0.14491351816931786,0.3440703168800615,0.4045178322467381
24,0.04617676827816819,0.1279066365007534,0.3134470508851199,0.3655791061363586
25,0.03732685028243876,0.11311602830007828,0.2808182199491217,0.3265884083263636
26,0.027768317853463342,0.09976017801857517,0.24587429050566367,0.28685500515993567
27,0.016742636128026844,0.08686867673261656,0.20857630587421638,0.2459676193984427
28,0.0032701238390129284,0.07327143962848193,0.16920859133126032,0.20386996904022825
29,-0.013879266811413604,0.05758792348717601,0.12843145918143428,0.1609363061393363
30,-0.03621517027863552,0.03821634416924602,0.08733391382868361,0.11804695562433487
31,-0.06555602780237701,0.013322894099598859,0.04748635684741842,0.07666385411702736
32,-0.10405830753354017,-0.019169040247678182,0.010993292053662285,0.038906088751273216
